Boot Entry,Iteration:  1 ,Iteration:  2 ,Iteration:  3 ,Iteration:  4 ,Iteration:  5 
        ,start time : 00:00:00.493.580  ,start time : 00:00:00.493.336  ,start time : 00:00:00.493.689  ,start time : 00:00:00.493.523  ,start time : 00:00:00.493.535  
        ,time elapsed in ss.ms.us : 00.001.723 ,time elapsed in ss.ms.us : 00.001.722 ,time elapsed in ss.ms.us : 00.001.725 ,time elapsed in ss.ms.us : 00.001.724 ,time elapsed in ss.ms.us : 00.001.723 
        ,                                         ,                                         ,                                         ,                                         ,                                         
PBL_WAKE_CORES_JUMP,boot entry type : 25 ,boot entry type : 25 ,boot entry type : 25 ,boot entry type : 25 ,boot entry type : 25 
        ,start time : 00:00:00.495.330  ,start time : 00:00:00.495.085  ,start time : 00:00:00.495.441  ,start time : 00:00:00.495.274  ,start time : 00:00:00.495.286  
        ,time elapsed in ss.ms.us : 00.000.007 ,time elapsed in ss.ms.us : 00.000.008 ,time elapsed in ss.ms.us : 00.000.008 ,time elapsed in ss.ms.us : 00.000.008 ,time elapsed in ss.ms.us : 00.000.008 
        ,                                         ,                                         ,                                         ,                                         ,                                         
PBL_TOTAL,boot entry type : 26 ,boot entry type : 26 ,boot entry type : 26 ,boot entry type : 26 ,boot entry type : 26 
        ,start time : 00:00:00.129.143  ,start time : 00:00:00.129.115  ,start time : 00:00:00.129.162  ,start time : 00:00:00.129.161  ,start time : 00:00:00.129.257  
        ,time elapsed in ss.ms.us : 00.366.194 ,time elapsed in ss.ms.us : 00.365.978 ,time elapsed in ss.ms.us : 00.366.287 ,time elapsed in ss.ms.us : 00.366.121 ,time elapsed in ss.ms.us : 00.366.036 
        ,                                         ,                                         ,                                         ,                                         ,                                         
BOOTLOADERS_TOTAL,boot entry type : 27 ,boot entry type : 27 ,boot entry type : 27 ,boot entry type : 27 ,boot entry type : 27 
        ,start time : 00:00:00.000.000  ,start time : 00:00:00.000.000  ,start time : 00:00:00.000.000  ,start time : 00:00:00.000.000  ,start time : 00:00:00.000.000  
        ,time elapsed in ss.ms.us : 00.494.972 ,time elapsed in ss.ms.us : 00.494.729 ,time elapsed in ss.ms.us : 00.495.088 ,time elapsed in ss.ms.us : 00.494.916 ,time elapsed in ss.ms.us : 00.494.926 
        ,                                         ,                                         ,                                         ,                                         ,                                         
MAINFW_PRE_TIMER_INIT,boot entry type : 28 ,boot entry type : 28 ,boot entry type : 28 ,boot entry type : 28 ,boot entry type : 28 
        ,start time : 00:00:00.792.718  ,start time : 00:00:00.792.312  ,start time : 00:00:00.792.885  ,start time : 00:00:00.792.613  ,start time : 00:00:00.792.640  
        ,time elapsed in ss.ms.us : 00.229.942 ,time elapsed in ss.ms.us : 00.232.525 ,time elapsed in ss.ms.us : 00.226.733 ,time elapsed in ss.ms.us : 00.232.669 ,time elapsed in ss.ms.us : 00.226.521 
        ,                                         ,                                         ,                                         ,                                         ,                                         
MAINFW_PRE_PMU_INIT,boot entry type : 29 ,boot entry type : 29 ,boot entry type : 29 ,boot entry type : 29 ,boot entry type : 29 
        ,start time : 00:00:00.639.171  ,start time : 00:00:00.640.531  ,start time : 00:00:00.637.270  ,start time : 00:00:00.640.810  ,start time : 00:00:00.636.984  
        ,time elapsed in ss.ms.us : 00.018.505 ,time elapsed in ss.ms.us : 00.018.484 ,time elapsed in ss.ms.us : 00.018.475 ,time elapsed in ss.ms.us : 00.018.515 ,time elapsed in ss.ms.us : 00.018.829 
        ,                                         ,                                         ,                                         ,                                         ,                                         
MAINFW_PRE_KERNEL_ENTER_SCHEDULER,boot entry type : 30 ,boot entry type : 30 ,boot entry type : 30 ,boot entry type : 30 ,boot entry type : 30 
        ,start time : 00:00:00.000.002  ,start time : 00:00:00.000.002  ,start time : 00:00:00.000.002  ,start time : 00:00:00.000.002  ,start time : 00:00:00.000.002  
        ,time elapsed in ss.ms.us : 00.176.004 ,time elapsed in ss.ms.us : 00.176.354 ,time elapsed in ss.ms.us : 00.176.302 ,time elapsed in ss.ms.us : 00.176.268 ,time elapsed in ss.ms.us : 00.176.429 
        ,                                         ,                                         ,                                         ,                                         ,                                         
OVERALL_TOTAL,boot entry type : 31 ,boot entry type : 31 ,boot entry type : 31 ,boot entry type : 31 ,boot entry type : 31 
        ,start time : 00:00:00.000.000  ,start time : 00:00:00.000.000  ,start time : 00:00:00.000.000  ,start time : 00:00:00.000.000  ,start time : 00:00:00.000.000  
        ,time elapsed in ss.ms.us : 00.919.423 ,time elapsed in ss.ms.us : 00.922.092 ,time elapsed in ss.ms.us : 00.916.598 ,time elapsed in ss.ms.us : 00.922.368 ,time elapsed in ss.ms.us : 00.916.705 
        ,                                         ,                                         ,                                         ,                                         ,                                         
